ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLUB_NM,TROBL_TY_NM,OPER_TIME_CN,CLUB_INTRCN_CN
론볼,,충남,천안시,(도비)데굴데굴론볼클럽,지체장애,매주 월/수 14:00~16:00,
론볼,,경기,부천시,부천장애인론볼클럽,기타장애,매주월.수요일10부터14시,순수장애인들 만의 구성 하여 체력 단련과 재활 운동을 목적 으로 한다
론볼,,경기,안산시,안산시장애인론볼클럽,지체장애,매주 수 오후 2시,"안산시장애인론볼클럽은 안산시 단원구 능안운동장 내 론볼경기장에 위치하고 있으며, 안산시 소재 재가장애인들에게 론볼이라는 스포츠를 보다 쉽게 가까이 할 수 있도록 홍보 및 안내하고, 전문스포츠인으로 발전해 나가는 징검다리 역할을 합니다.."
론볼,,서울,송파구,송파구 슬로비론볼클럽,지체장애,"매주 월,수,금 10~15","건강과 친목을 목적으로 하며 장애인 스포츠의 본이되어  사랑,비젼,꿈,행복,열정,정열이 있는 살아숨쉬는 장애인론볼의 명가 슬로비론볼클럽이 되겠습니다"
론볼,,대구,수성구,팔공론볼클럽,지체장애,매주 금요일 오후1시,재미있는 론볼클럽입니다.
론볼,,전북,익산시,마한론볼동호인클럽,지체장애,"매주 월,금 10시",
론볼,,전북,전주시,론볼동호인클럽,지체장애,매주 목 오후 4시,
론볼,,서울,노원구,노원 레이온 론볼클럽,지체장애,"매주화,목 10;00~16:00",
론볼,,대구,수성구,금호론볼클럽,뇌병변장애,매주토및수시.오후2시-6시사이,규칙적인 운동습관으로 체력관리 및 회원상호간의 화합과 론볼 전문선수 육성
론볼,,서울,송파구,송파론볼클럽,지체장애,"매주호,목 오후2시~4시","~꿈은이루어집니다~  론볼를 사랑(좋아)하는 장애,비장애인의 모임으로 함!  장애인 비장애인의 생활 체육을 육성하고 더 나아가 서로를 이해하며   함께 손잡고 나아가는 진정한 의미를 살리고자 함.  론볼의 동호회 육성을 통하여 일반화 대중화 시킴으로서 쉽고 재미있게  어우러져 진정한 생활체육이 삶속에 파고들게 하고자 함,"
론볼,,서울,송파구,한강론볼클럽,지체장애,매주화.목,한강론볼클럽은 1991년대한민국최초로등록된론볼클럽입니다.최근2년간코로나로인해 조금활동이줄기는했으나  많은우수한선수들이활동하고있으며 국가대표선수와 직장팀도있습니다 열심히하시면취업도합니다  운동장을상시개방하고언제든오시면친절히어울리며 배우고같이즐길수있습니다  장비도 빌려드립니다.언제든꼭오세요
론볼,,서울,강동구,강동구 보훈 론볼클럽,지체장애,매일 9시~16시,
론볼,,제주,제주시,노연볼스클럽,기타장애,"매주 화,목 오후 1시",
론볼,,전북,정읍시,2022전북장애인생활체육 론볼클럽,지체장애,"매주 수,목 10:30",
론볼,,경기,안양시,안양시장애인론볼클럽,지체장애,"매주 월, 수 13시~15시",
론볼,,충남,서산시,데구르르 론볼 클럽,지체장애,매주 목 13:00,
론볼,,경기,안산시,안산시론볼클럽,지체장애,매주 수 오후 2시,"안산시론볼클럽은 안산시 단원구 능안운동장 내 론볼경기장에 위치하고 있으며, 안산시 소재 재가장애인들에게 론볼이라는 스포츠를 보다 쉽게 가까이 할 수 있도록 홍보 및 안내하고, 전문스포츠인으로 발전해 나가는 징검다리 역할을 합니다.."
론볼,,대구,수성구,론볼수성클럽,뇌병변장애,"매주 화,목 오전10시",당 클럽은 대구시 수성구 파동 소재 대구시 장애인종합복지관을 이용하시는 장애 어르신이 클럽의 주회원으로 구성되어 있으며 아을러 비장애 회원도 가입하여 론볼 종목을 통하여 건강증진 및 친목을 도모하는 장애인 생활체육 클럽으로써 2011년 1월에 창단하여 매년 대구시 장애인체육회의 관리 통제하에 운영하는 단체 입니다.
론볼,,울산,남구,선바위론볼클럽,지체장애,매주 목14:00~16:00,장애인과 바정애인의 어울림 동호회로 시내 누구나 참여할수있으며 장애인 사회활동의 기틀을 마련하고 회원 상호간의 유대감을 강화하고 나아가서 전문선수로 활동할수있는 좋은 계기가 됩니다~~~  많은 참여 바랍니다~~~
론볼,,대구,북구,론볼북구클럽,뇌병변장애,매주 토요일 13~15시,재미있는 론볼클럽
론볼,,전북,장수군,2022 전북장애인생활체육 론볼클럽(장수),기타장애,10:00~12:00,
론볼,,서울,강남구,강남론볼클럽,지체장애,월~금 오전 10~,안녕하세요. 강남론볼클럽입니다. 저희 클럽은 지체장애인들이 모여 운동을 하는 단체입니다. 운동을 하면서 체력도 다지고 친목도모도 할 수 있는 재미있는 클럽입니다.
론볼,,제주,제주시,조천만세클럽,기타장애,"매주 화, 목 오후 3시",
론볼,,충북,청주시,2022 직지론볼클럽,지체장애,매주 수.목 오후13시,직지론볼클럽은 론볼에 관심있는 분은 누구나 할 수있습니다.  청주시 론볼경기장은 전천후 론볼경기장입니다.  남. 녀. 모두다 편하게 할 수있는 경기입니다.  매주 수. 목요일 13시부터 운동을 합니다.
론볼,기타,울산,남구,코끼리론볼동호회,지체장애,매주토요일오후2시,코끼리론볼동호회 장애인 비장애인 누구나 즐겁게 론볼을 할수있는 동호회입니다
론볼,,부산,사상구,학장론볼클럽,지체장애,"매주 수, 금 오전 10시",
론볼,,부산,북구,부산북구장애인론볼클럽,지체장애,매주 목 오전10시,? 장애인의 기초체력증진 및 야외 활동을 통한 신체 기능 향상    ? 참가자 간의 상호작용을 통해 자존감 향상 및 사회참여의식 향상    ? 활동을 통해 심신의 안정 도모
바둑,,서울,송파구,송파 방이바둑동호회,기타장애,매주 목 오후 3시,2016년 4월 1일 송파구방이장애인복지관 회원을 중심으로 결성되어 장애인들의 바둑보급 및 대회참가 등의 활동을 하고 있습니다.
바둑,,제주,제주시,사라봉바둑클럽,지체장애,매주 토 09~,장애인들의 일상생활의 여유를 즐기고 두뇌활동을 활발히 할 수 있도록 정기적으로 모여 활동을 하고  수시로 편한 시간에 나와 활동 할 수 있는 바둑교실
바둑,,서울,송파구,송파구 쌍바위기우 바둑 동호회,뇌병변장애,매주 목 1~5시,
바둑,,강원,속초시,어울림바둑클럽,지체장애,"매주 금, 오후1시",속초시어울림바둑클럽
배구,,경남,진주시,멋진여성좌식배구동호회,기타장애,매주 토요일 13:00 ~ 15:00,
배구,,제주,제주시,스파이크좌식배구클럽,지체장애,"매주 목,토,일 18:00~21:00",
배구,,경남,진주시,장애인어울림배구동호회,기타장애,매주 토요일 13:00 ~ 15:00,
